"Brand","Model","Price","Rating","NumOffers","PriceFrom","Choice","New"
"Nokia","Смартфон  7.2 128GB",17750,3,8,17750,"No","No"
"Honor","Смартфон  20 6/128GB",21750,3,35,21750,"Yes","No"
"Xiaomi","Смартфон  Mi 9T 6/128GB",23990,3,18,23990,"Yes","No"
"Meizu","Смартфон  Note 9 4/64GB",12290,3,6,12290,"Yes","No"
"TECNO","Смартфон  Camon 12",8683,4,5,8683,"Yes","No"
"Samsung","Смартфон  Galaxy M30s 4/64GB",16990,3,3,NA,"No","No"
"Xiaomi","Смартфон  Redmi 7A 2/32GB",5990,3,40,5990,"No","No"
"TCL","Смартфон  Plex",15500,3,8,15500,"Yes","No"
"Xiaomi","Смартфон  Redmi Note 7 4/64GB",12990,3,17,12990,"No","No"
"realme","Смартфон  3 3/32GB",10990,3,2,NA,"Yes","No"
"Honor","Смартфон  8A",7390,3,56,7390,"No","No"
"Apple","Смартфон  iPhone X 64GB",44990,3,3,44990,"No","No"
"HUAWEI","Смартфон  P30 Lite New Edition",16680,3,4,16680,"Yes","No"
"OPPO","Смартфон  A5s",8400,3,21,8400,"No","No"
"Xiaomi","Смартфон  Redmi Note 8T 4/128GB",14879,3,33,14879,"Yes","No"
"Xiaomi","Смартфон  Mi Mix 3 5G 6/128GB",27990,3,1,NA,"Yes","No"
"realme","Смартфон  X2 Pro 8/128GB",32990,3,4,32990,"Yes","No"
"Meizu","Смартфон  X8 6/128GB",12550,3,2,12550,"Yes","No"
"Motorola","Смартфон  Moto G7 Power 64GB",12490,3,3,12490,"Yes","No"
